,mean,std
auc,0.9718165805713196,0.007849759473089777
accuracy,0.9229292393175922,0.01003474673394888
precision,0.9227685471187805,0.01109818575780367
recall,0.9233672211779875,0.021715733593946577
f1_macro,0.9229118070477454,0.010043392585225793
f1_micro,0.9229292393175922,0.010034746733948885
precision_pos,0.9227685471187805,0.01109818575780367
precision_neg,0.9238180853009819,0.019484305741197316
recall_pos,0.9233672211779875,0.021715733593946577
recall_neg,0.9224912574571966,0.012751885096410644
