,mean,std
auc,0.98187200518226,0.0018677513049564197
accuracy,0.935516874014454,0.00305156164268329
precision,0.9349559145284286,0.006031515281266847
recall,0.9362517311476698,0.008648434491344944
f1_macro,0.9355128223138907,0.003051649117266002
f1_micro,0.935516874014454,0.003051561642683281
precision_pos,0.9349559145284286,0.006031515281266847
precision_neg,0.9362586179776438,0.0078223750681672
recall_pos,0.9362517311476698,0.008648434491344944
recall_neg,0.9347808438490621,0.006886702244544539
